male,black,gay
male,white,something else
male,white,bisexual
male,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,bisexual
female,white,straight
male,white,something else
female,black,straight
female,white,gay
male,white,something else
female,white,straight
female,black,something else
female,black,straight
male,black,gay
male,white,bisexual
male,white,something else
female,black,gay
male,white,something else
female,white,something else
female,white,gay
male,white,bisexual
female,white,something else
male,white,bisexual
male,white,something else
female,white,something else
female,white,bisexual
female,white,something else
male,white,bisexual
female,white,something else
female,white,gay
female,white,bisexual
male,chinese,bisexual
female,white,something else
female,filipino,something else
male,white,something else
male,white,gay
female,white,straight
female,white,something else
male,white,bisexual
male,white,something else
male,white,gay
female,white,gay
male,white,something else
female,white,something else
female,white,straight
female,white,straight
male,black,gay
female,white,something else
female,black,gay
female,white,bisexual
female,black,bisexual
female,black,gay
female,white,gay
male,black,something else
female,white,something else
female,white,straight
male,white,straight
male,white,something else
female,white,straight
male,white,something else
male,white,bisexual
male,white,bisexual
male,white,something else
male,white,bisexual
male,white,straight
male,white,something else
male,white,straight
male,white,straight
female,white,straight
male,black,something else
female,white,something else
male,white,bisexual
female,white,something else
female,white,bisexual
male,white,gay
female,white,something else
female,white,something else
male,white,something else
male,white,something else
female,black,gay
male,white,something else
male,white,bisexual
female,black,something else
male,white,something else
male,white,straight
male,white,gay
female,white,bisexual
male,white,bisexual
male,white,straight
female,white,bisexual
male,white,something else
male,indian,something else
female,white,gay
female,white,straight
female,black,something else
female,white,something else
male,white,gay
male,white,bisexual
male,white,something else
female,white,something else
male,white,gay
female,black,something else
male,white,gay
female,white,straight
female,white,bisexual
male,white,something else
male,white,gay
male,white,bisexual
female,white,bisexual
female,white,something else
female,white,something else
male,white,bisexual
male,white,something else
male,white,gay
male,white,bisexual
male,white,something else
male,white,something else
male,white,bisexual
female,white,something else
male,white,bisexual
female,white,something else
female,white,something else
female,white,gay
male,white,gay
female,white,something else
female,white,something else
male,black,gay
female,white,something else
female,white,straight
female,black,something else
male,white,gay
male,white,gay
male,white,bisexual
male,white,gay
female,white,something else
male,white,bisexual
female,white,gay
female,white,something else
female,white,something else
male,white,something else
male,black,gay
female,black,something else
male,black,something else
female,white,gay
female,white,something else
male,white,something else
male,white,bisexual
male,black,something else
female,black,something else
female,black,gay
female,white,something else
male,black,something else
male,black,something else
female,white,bisexual
female,white,gay
female,black,bisexual
male,white,bisexual
female,black,something else
male,white,something else
female,white,something else
male,white,something else
female,white,gay
male,white,gay
female,white,straight
female,filipino,bisexual
female,white,straight
female,white,bisexual
female,white,gay
male,white,bisexual
female,black,something else
female,white,something else
female,white,gay
male,white,bisexual
female,white,something else
male,white,something else
male,white,straight
male,white,something else
female,white,straight
female,indian,gay
female,white,gay
female,white,gay
male,white,bisexual
male,white,something else
male,white,something else
male,white,something else
male,white,something else
female,white,something else
female,white,something else
male,white,something else
female,white,something else
female,white,something else
male,white,something else
male,white,gay
female,black,straight
female,white,something else
male,white,straight
male,white,gay
male,white,gay
female,white,something else
male,white,straight
female,white,gay
male,white,bisexual
